Section,Title,Corpus,Reference,Tables,Keywords,subject,relation,object,Summary,Concept_range,Synonyms,Relation_Non_Taxonomique,Topic
7.3.7,information for response planning,overall project contingency reserve time cost should be reected projects schedule budget quantitative risk analysis provides information may be used modify project plan if overall risk time cost indicates adjustment scope is needed scope changes are agreed upon documented a new quantitative risk analysis is carried reect new aspects project,[],[]," quantitative risk analysis , reserve time cost , contingency reserve time , schedule budget quantitative , analysis provide information , risk time cost , budget quantitative risk , risk analysis provide , project contingency reserve , reected project schedule",quantitative risk analysis,reected,new aspect project,"adjustment change information scope cost schedule risk aspect analysis are budget reect needed upon if reected quantitative new plan should be used .
 project time reserve indicates agreed may a overall is provides modify overall is .","['project contingency', 'time cost', 'schedule budget quantitative risk analysis', 'information', 'modify project plan risk time cost adjustment scope', 'change']",[],"['reserve', 'should be reected', 'provide', 'may be', 'be need', 'be', 'be carry']",Perform Quantitative Risk Analysis
7.4,documenting results of perform quantitative risk,analysis process contingency reserves calculated quantitative project cost schedule risk analysis are incorporated cost estimate schedule establish a prudent target a realistic expectation project contingency reserves may be established provide capture opportunities are judged be priorities project if contingency reserve required exceeds time resources available changes project scope plan may result results analysis may provide less urgency risk response see plan risk responses depending probability achieving plans objectives amount contingency reserve required provide necessary level con dence results a quantitative risk analysis are recorded passed person andor group responsible project management within organization actions required make full use results,[],[]," contingency reserve require , exceeds time resource , depend probability achieve , level con dence , record passed person , passed person andor , person andor group , andor group responsible , contingency reserve calculate , process contingency reserve",responsible project management,be,full use result,change realistic required target scope see cost schedule risk analysis con expectation result are amount group provide resource judged capture if quantitative use establish priority calculated necessary plan responsible within organization be urgency contingency process opportunity achieving person estimate objective make passed available incorporated may andor action a recorded probability prudent exceeds response .,"['cost estimate schedule', 'target expectation project contingency reserve', 'capture opportunity', 'judge', 'priority project contingency reserve', 'time resource change project scope plan', 'result analysis', 'urgency risk response', 'response', 'probability', 'plan amount contingency reserve', 'provide level con dence result risk analysis', 'record']","['cost estimate schedule', 'response']","['be', 'establish', 'may be establish', 'be', 'be', 'require', 'may result', 'may provide', 'see', 'risk', 'depend', 'achieve', 'require', 'be', 'passed', 'require make']",Perform Quantitative Risk Analysis
8.,plan risk responses,plan risk responses process determines effective response actions are appropriate priority individual risks overall project risk it takes account stakeholders risk attitudes conventions specified risk management plan addition constraints assumptions were determined risks were identified analyzed,[],[]," addition constraint assumption , process determines effective , effective response action , management plan addition , plan addition constraint , responses process determines , determines effective response , stakeholder risk attitude , risk attitude convention , priority individual risk",determine  risk,determines effective,,"account risk appropriate are specified assumption were determines identified priority plan .
 stakeholder response management determined take individual action .
 account risk 'appropriate' referred to as 'account risk appropriate'","['plan risk', 'determines response action', 'stakeholder risk attitude convention specify risk management plan addition constraint assumption']",['stakeholder risk attitude convention specify risk management plan addition constraint assumption'],"['responses', 'be', 'take', 'be determine']",Plan Risk Responses
8.1,purpose and objectives of plan risk responses process,objective plan risk responses process is determine set actions enhance chances project success complying applicable organizational project constraints once risks have been identified analyzed prioritized plans should be developed addressing every risk project team considers be suf important either threat poses project objectives opportunity offers planning entails agreeing upon actions be taken potential changes budget schedule resources scope actions might cause contingent risk response actions need be executed optimum time for reason response specification such risk should include a description corresponding trigger conditions responsibility monitoring project conditions implementing corresponding actions should be assigned every risk should have been allocated a risk owner as part identify risks process corresponding risk responses should be assigned a specific risk action owner risk owner is responsible ensuring risk response is effective planning additional risk responses required whereas risk action owner is responsible ensuring agreedupon risk responses are carried as planned a timely manner role risk owner risk action owner may be assigned a single person responses implemented can have potential effects project objectives and as such can generate additional risks these are known as secondary risks have be analyzed planned same way as risks were identified it is feasible desirable eliminate threats a project is a limit extent opportunities can be managed there may be residual risks will remain responses have been implemented these residual risks should be identified analyzed documented communicated relevant stakeholders plan risk responses all approved unconditional actions arising risk response planning should be integrated project management plan order ensure are carried as part normal project implementation corresponding organizational project management rules should be invoked including following project change management con guration control project planning budgeting scheduling resource management project communication planning,[],[]," risk action owner , plan risk response , budget schedule resource , owner risk owner , risk owner risk , action owner risk , owner risk action , risk response action , ensure risk response , additional risk response",risk response planning,remain,organizational project communication planning,"ensuring can threat reason eliminate scope part agreedupon team for assigned owner remain upon contingent enhance agreeing identified potential considers approved invoked control .
 ensure single implementation developed same change success specific complying trigger risk need organizational once role description responsible communicated effective constraint .","['plan risk response process', 'action enhance chance project success comply project constraint risk', 'plan', 'risk project team considers', 'threat', 'project objectives opportunity', 'action', 'change budget schedule resource scope action', 'contingent risk response action need', 'time reason response specification risk', 'description correspond trigger condition responsibility monitoring project condition correspond action', 'risk', 'risk action owner risk owner', 'plan risk response', 'whereas', 'action owner', 'risk response', 'plan manner role risk owner risk action owner', 'person response implement', 'effect project objective', 'way risk', 'eliminate threat project', 'limit extent opportunity', 'risk', 'response', 'risk', 'document', 'stakeholder plan', 'response', 'action arise risk response planning']","['action', 'risk action owner risk owner', 'plan risk response', 'risk', 'way risk', 'part project implementation correspond project management rule']","['be set', 'have be identify', 'should be develop', 'be suf', 'pose', 'offer', 'entail', 'be', 'might cause', 'be', 'should include', 'should be', 'should have be allocate', 'should be assign', 'be ensure', 'be', 'require', 'risk', 'be ensure', 'be carry', 'may be assign', 'can have', 'can generate', 'be know', 'have be analyze', 'be identify be', 'be', 'can be manage may be', 'will remain', 'have be', 'should be identify', 'communicated', 'risk', 'approve', 'should be integrate', 'ensure be carry', 'should be include']",Plan Risk Responses
8.2,critical success factors for plan risk responses process,a range factors are important success plan risk responses process these are described sections shown figure figure critical success factors risk response planning,"['Figure 8-1', 'Figure 8-1']",[]," risk response planning , plan risk response , risk response process , important success plan , section show figure , success plan risk , factor risk response , show figure figure , figure figure critical , figure critical success",critical factor risk response,be important,,"range plan factor these critical important planning success a .
 shown risk response process described section .
 figure are critical .
 important planning factors .","['range factor', 'success plan']",[],"['be', 'risk', 'be described']",Plan Risk Responses
8.2.1,communicate,communication various stakeholders should be maintained open appropriate manner resulting plans are disseminated approval obtained order ensure full acceptance stakeholders in addition organizational causes risks such as culture attitudes disagreements concerning objectives are present should be addressed this may require involving high levels organizations management other stakeholders plan risk responses,[],[]," disseminate approval obtain , approval obtain order , obtain order ensure , order ensure full , ensure full acceptance , culture attitudes disagreement , attitudes disagreement concern , disagreement concern objective , require involve high , involve high level",such disagreement concern this,maintain open,other risk response,ensure resulting disseminated communication involving in risk appropriate other are order disagreement organizational regarding acceptance maintained require present plan organization should be high approval attitude obtained addressed cause such addition open objective culture may .,"['communication stakeholder', 'manner result plan', 'approval', 'order', 'acceptance stakeholder addition cause risk culture attitudes disagreement concern']",[],"['should be maintain', 'be', 'obtain', 'ensure', 'be should be may require involve', 'risk']",Plan Risk Responses
8.2.2,de ne riskrelated roles and responsibilities,risk response success will be dependent upon full support involvement project team other stakeholders key roles project risk management are risk owner risk action owner a single risk owner should be assigned every identified risk agreedupon risk response should have a single risk action owner people corresponding responsibilities should be aware is expected them other project stakeholders should understand accept needs authority roles management may take ownership risks political organizational causes in addition senior management should approve track associated riskrelated contingency reserves,[],[]," risk action owner , riskrelated contingency reserve , action owner people , single risk action , full support involvement , people correspond responsibility , approve track associate , track associate riskrelated , associate riskrelated contingency , owner people correspond",track associate,be dependent,contingency reserve,track single political success ownership in risk agreedupon accept team key every other approve are need dependent assigned owner responsibility upon support organizational associated them identified aware role should be contingency will project expected authority corresponding cause senior reserve addition have people involvement action may a stakeholder full response .,"['risk response success', 'support involvement project team stakeholder role project risk management', 'risk action owner people', 'responsibility', 'project stakeholder', 'authority role management', 'ownership risk organizational cause addition management']","['identify risk risk response', 'risk action owner people']","['will be', 'be', 'should be', 'should have', 'correspond', 'should be be expect', 'should understand accept', 'may take', 'should approve', 'riskrelated']",Plan Risk Responses
8.2.3,specify timing of risk responses,agreedupon responses should be integrated project management plan will be scheduled assigned execution responses depend uncertain conditions should be monitored as be performed conditions warrant them,[],[]," integrate project management , project management plan , schedule assigned execution , assigned execution response , execution response depend , response depend uncertain , depend uncertain condition , perform condition warrant , agreedupon response , integrate project",uncertain  condition,be,them,"integrated agreedupon condition warrant assigned monitored them plan depend scheduled should be .
 project uncertain performed execution a response management .
 iaas is a risk-based approach to risk management that is based on a 'risk-adjusted' approach .","['response', 'management plan', 'execution response']","['monitor', 'condition']","['should be integrate', 'will be assigned', 'depend', 'should be', 'be']",Plan Risk Responses
8.2.4,"provide resources , budget , and schedule for responses",each response should be planned detail accordance methodology project integrated project management plan this entails estimating resources costs duration updating budget schedule obtaining approval management obtaining commitment risk owners risk action owners managements role stage is vital supporting project manager developing risk responses authorizing corresponding resources,[],[]," detail accordance methodology , cost duration update , duration update budget , update budget schedule , plan detail accordance , entail estimating resource , estimating resource cost , resource cost duration , budget schedule obtain , schedule obtain approval",vital support project manager,be,corresponding risk resource,"integrated supporting accordance stage cost schedule risk developing resource budget owner duration commitment .
 estimating corresponding detail action vital response methodology management is this .","['response', 'plan accordance methodology project integrate project management plan entail', 'resource cost duration budget schedule', 'approval management', 'commitment risk owner risk action owner management role stage', 'support project manager']",[],"['should be', 'estimating', 'obtain', 'obtain', 'be', 'develop', 'authorize']",Plan Risk Responses
8.2.5,address interaction of risks and responses,responses may be developed address risks related either cause effect common root cause categorization risks example using tools such as risk breakdown structure af nity diagram other categorizing tools may help identify address situation there is a need plan risk responses process consider risks aggregated perform quantitative risk analysis process eg ten small related risks combined may pose a big risk project develop generic responses possible another interaction effect may occur is one risk occurs may affect probability impact other risks deciding response strategy may require a compromise since some proposed responses may be exclusive counterproductive for example mitigating a threat time could cost money increasing pressure budget risk response planning needs take a holistic view proposed responses make sure are coherent plan risk responses challenge planning responses risks is need control potential effects strategy developed treating original risk if is overlooked total level threat a project can increase potential opportunities can be compromised,[],[]," plan risk response , holistic view propose , view propose response , propose response make , aggregate perform quantitative , ten small related , affect probability impact , overlooked total level , identify address situation , cost money increase",total level project,develop,potential  opportunity,can threat increasing cost for tool combined cause potential related control make aggregated probability mitigating ten possible breakdown view other increase common since budget some either money quantitative require proposed plan compromise overlooked nity .,"['response', 'risk relate cause effect root cause categorization risk example use tool risk structure af nity', 'tool', 'situation', 'need plan', 'risk project', 'response interaction effect', 'probability impact risk', 'response strategy', 'compromise response', 'counterproductive example mitigate threat time', 'money increase pressure budget risk response', 'response', 'plan risk response challenge plan response risk', 'level threat project']","['risk analysis process eg', 'risk combine', 'risk project', 'probability impact risk', 'response', 'treat risk', 'level threat project']","['may be develop', 'diagram', 'may help identify', 'be', 'risk', 'aggregate', 'ten related', 'may pose', 'develop', 'may occur be', 'may affect', 'decide', 'may require', 'may be', 'could cost', 'planning need take', 'propose', 'make be', 'be need', 'develop', 'be overlooked', 'can increase']",Plan Risk Responses
8.2.6,"ensure appropriate , timely , effective , and agreedupon responses",in general responses should be appropriate timely costeffective feasible achievable agreedupon assigned accepted any proposed risk response plan needs be assessed following criteria consistency organizational values project objectives stakeholder expectations technical feasibility ability project team risk action owners outside project carry corresponding actions balance overall impact response project objectives improvement risk pro le project,[],[]," objectives stakeholder expectation , timely costeffective feasible , costeffective feasible achievable , feasible achievable agreedupon , achievable agreedupon assign , agreedupon assign accept , assess follow criterion , follow criterion consistency , criterion consistency organizational , stakeholder expectation technical",expectation technical risk action owner,be appropriate,le objectives improvement project,"improvement criterion plan should be project outside any corresponding achievable value impact .
 balance in agreedupon risk appropriate team expectation assessed general need .","['response', 'agreedupon assign risk response plan', 'criterion consistency value project', 'expectation feasibility ability project team risk action owner project']",[],"['should be', 'need be', 'objectives', 'carry', 'objectives']",Plan Risk Responses
8.2.7,address both threats and opportunities,risk response planning should combine responses address threats as provide opportunities a single integrated plan if either threats opportunities are not addressed combined set response strategies will be incomplete may be invalid,[],[]," single integrated plan , risk response planning , addressed combine set , set response strategy , combine response address , response address threat , combine set response , provide opportunities , opportunities a single , single integrated",set response strategy,combine,integrated response address plan,integrated single strategy threat risk are not provide either combine if combined invalid plan should be planning will incomplete set addressed opportunity address may be a response .,"['plan threat opportunity', 'combine']","['response address threat provide', 'plan threat opportunity']","['should combine', 'opportunities', 'be', 'set']",Plan Risk Responses
8.2.8,develop strategies before tactical responses,risk response planning should be carried openminded manner adopting first response seems be feasible responses should be planned a general strategic level strategy validated agreed upon developing detailed tactical approach once responses have been planned a strategic level should be expanded actions tactical level integrated project management plan eg schedule budget resource assignments this activity may generate additional secondary risks will need be addressed time,[],[]," project management plan , carry openminded manner , openminded manner adopt , strategy validate agree , integrate project management , schedule budget resource , budget resource assignment , generate additional secondary , general strategic level , strategic level strategy",integrate budget resource activity,addressed,secondary  risk,"integrated strategy schedule developing risk openminded approach general need budget seems resource generate upon validated once expanded planned tactical plan .
 this level of detail is the most critical for a successful integrated strategy .","['risk response planning', 'carry manner', 'response', 'develop approach response', 'level', 'action level integrate project management plan', 'schedule budget resource assignment activity']","['response', 'develop approach response']","['should be', 'adopt', 'seem be', 'should be', 'validate', 'have be plan', 'should be', 'eg', 'may generate', 'will need be']",Plan Risk Responses
8.3,risk response strategies,project manager should develop risk response strategies individual risks sets risks project level risks an overview steps arriving a complete set responses is given figure affected stakeholders should be involved determining strategies once strategies have been selected need be agreed upon entity approves strategies there are four strategies address individual risks threats opportunities as described sections see fig plan risk responses,['Figure 8-2'],[]," overview step arrive , give figure affect , figure affect stakeholder , complete set response , address individual risk , individual risk threat , risk threat opportunity , fig plan risk , strategy address individual , involve determine strategy",described risk threat section,develop,plan risk response,"strategy approves threat see given risk figure involved are step selected need affected upon determining once section entity four overview plan manager should be .
 project set develop opportunity complete have arriving agreed address .
 stakeholder response described is fig there level individual .","['project manager', 'risk project level risk step', 'set response', 'figure stakeholder', 'determine strategy strategy', 'need', 'entity', 'strategy']",['risk project level risk step'],"['should develop', 'set', 'arrive', 'be', 'should be', 'have be', 'be', 'approve', 'be', 'see']",Plan Risk Responses
8.3.1,avoid a threat or exploit an opportunity,this strategy involves taking actions required address a threat opportunity order ensure either threat can not occur can have no effect project opportunity will occur project will be able take advantage it,[],[]," action require address , opportunity order ensure , threat opportunity order , effect project opportunity , strategy involve , involve take action , action require , require address , order ensure , opportunity order",effect project opportunity,involve,it,"ensure strategy threat can required able order not take effect either no advantage be it will project .
 ensure this threat can require able or order not to take effect whether no advantage either be it .","['strategy', 'action require address threat opportunity order', 'threat', 'effect project opportunity']",[],"['involve take', 'ensure', 'can occur can have', 'will occur', 'will be']",Plan Risk Responses
8.3.2,transfer a threat or share an opportunity,this strategy entails transference a third party is better positioned address a particular threat opportunity,[],[]," strategy entail transference , threat opportunity , strategy entail , entail transference , position address , opportunity , strategy , entail , transference , party",third  party,be,,"address strategy threat entail particular a third party better is positioned .
 this is a transference opportunity transference .
 if a party is able to position itself as a threat, then a .
 third party could be positioned to take advantage of the .
 opportunity .",['strategy'],[],"['entail', 'be']",Plan Risk Responses
8.3.3,mitigate a threat or enhance an opportunity,mitigation enhancement are applicable used response strategies approach is identify actions will decrease probability andor impact a threat increase probability andor impact opportunity,[],[]," probability andor impact , andor impact opportunity , decrease probability andor , response strategy approach , threat increase probability , probability andor , andor impact , mitigation enhancement , impact opportunity , enhancement be applicable",action,be applicable,andor impact opportunity,"strategy threat enhancement increase decrease approach are mitigation used will applicable opportunity impact .
 identify action andor a probability response is a response to a threat .","['mitigation enhancement', 'response strategy approach']",[],"['be used', 'be identify', 'will decrease']",Plan Risk Responses
8.3.4,accept a threat or an opportunity,this strategy applies other strategies are not considered applicable feasible acceptance entails taking no action unless risk occurs case contingency fallback plans may be developed time be implemented risk presents itself,[],[]," applicable feasible acceptance , feasible acceptance entail , occur case contingency , case contingency fallback , contingency fallback plan , risk occur case , implement risk present , applicable feasible , feasible acceptance , acceptance entail",risk,apply other,contingency fallback plan,"strategy considered risk other are itself not unless occurs applies fallback acceptance no present plan case entails fallback .
 a contingency plan may feasible taking implemented this strategy .","['strategy', 'acceptance entail', 'action risk', 'case contingency fallback plan', 'time']",['strategy'],"['apply', 'be consider', 'take', 'occur', 'may be develop', 'be']",Plan Risk Responses
8.3.5,applying risk response strategies to overall project risk,in addition responding individual risks four risk response strategies can be applied address overall project risk as follows cancel project as a last resort overall level risk remains unacceptable set a business structure customer supplier share risk replan project change scope boundaries project example modifying project priority resource allocations delivery calendar etc pursue project despite a risk exposure exceeds desired level,[],[]," addition respond individual , remain unacceptable set , business structure customer , structure customer supplier , customer supplier share , change scope boundary , priority resource allocation , resource allocation delivery , allocation delivery calendar , exposure exceed desire",unacceptable allocation delivery calendar,respond individual,desire level,strategy can change calendar follows scope in risk delivery boundary pursue example last modifying resource etc unacceptable structure exposure cancel desired priority applied four supplier be customer project set resort business addition allocation despite address share replan remains a overall response exceeds responding level .,"['addition respond risk risk response strategy', 'project risk cancel project resort level risk', 'business structure customer supplier share risk replan project change scope boundary project example']",[],"['can be', 'remain set', 'modify', 'exceed']",Plan Risk Responses
8.4,tools and techniques for plan risk responses process,there are four categories tools techniques as follows creativity tools identify potential responses decisionsupport tools determining optimal potential response strategy implementation techniques designed turn a strategy action tools transfer control monitor control risks process plan risk responses these categories tools can be used identify potential responses select appropriate response translate strategy planning assign corresponding actions steps involved planning risk responses are shown figure,[],[]," identify potential response , determine optimal potential , implementation technique design , technique design turn , transfer control monitor , action step involve , step involve plan , control risk process , monitor control risk , potential response decisionsupport",plan risk response,be,show figure,"strategy can decisionsupport follows risk appropriate monitor involved .
 a turn response to a crisis is a decision-making process .
 decision-support follows the four categories .","['tool technique creativity tool', 'strategy action tool transfer control monitor control risk process plan', 'tool', 'response response translate strategy plan', 'action step']",['strategy action tool transfer control monitor control risk process plan'],"['be', 'identify', 'turn', 'risk responses', 'can be', 'corresponding', 'involve', 'be']",Plan Risk Responses
8.4.1,response identification,risk response planning builds available information potential risks aims determine optimal set responses for reason should involve subject matter experts employ creativity techniques order explore options project planning execution techniques are required evaluate potential effects various options projects objectives,[],[]," option project objective , aim determine optimal , determine optimal set , involve subject matter , subject matter expert , matter expert employ , expert employ creativity , order explore option , project plan execution , explore option project",build,determine optimal,various option project objective,"determine reason required information risk build are for order .
 determine purpose required information and risk build .
 create a plan to achieve the desired result .","['build information potential risk', 'response reason', 'matter expert']","['build information potential risk', 'response reason']","['planning', 'aim', 'set', 'should involve', 'employ', 'be']",Plan Risk Responses
8.4.2,response selection,set potential responses risks being addressed is established decisionsupport techniques may need be applied select best possible subset responses selection process should take account cost responses impact project objectives uncertainty outcomes possible secondary residual risks identify risks perform quantitative risk analysis plan risk responses processes may need be applied resultant project management plan residual secondary risks would entail this iterative approach continues individual risks are deemed acceptable overall risk is within a predefined threshold,[],[]," establish decisionsupport technique , objective uncertainty outcomes , iterative approach continue , approach continue individual , apply resultant project , impact project objective , project objective uncertainty , resultant project management , set potential response , project management plan",overall  risk,apply select,predefined  threshold,decisionsupport possible threshold selection cost account risk analysis approach are iterative need resultant continues technique best quantitative acceptable applied plan select within should be entail this being project set would addressed secondary potential perform process deemed subset uncertainty impact identify objective predefined may outcome overall response management is residual established .,"['decisionsupport technique', 'subset response selection process', 'risk analysis plan', 'response process', 'project management plan risk', 'approach']","['decisionsupport technique', 'risk analysis plan', 'risk']","['set', 'be be establish', 'may need be', 'should take', 'perform', 'risk', 'may need be', 'would entail', 'continue', 'be deem', 'be']",Plan Risk Responses
8.4.3,action planning,project planning tools are used turn chosen strategies concrete actions integrate existing plans corresponding actions may be unconditional ie integrated project management plan contingent a trigger condition predefined as a contingency response strategy,[],[]," trigger condition predefined , project planning tool , turn chosen strategy , chosen strategy concrete , exist plan correspond , management plan contingent , contingency response strategy , action integrate exist , integrate project management , strategy concrete action",plan correspond action,integrate,integrate contingency response strategy,"integrated existing strategy trigger condition are contingent tool ie plan used be planning contingency project corresponding .
 integrated predefined unconditional concrete action may a turn management response chosen .","['tool', 'turn', 'strategy action integrate exist plan', 'action', 'integrate project management plan']",['tool'],"['planning', 'be', 'chosen', 'correspond', 'may be', 'contingent', 'predefined']",Plan Risk Responses
8.4.4,ownership and responsibility assignment,project manager needs use resource assignment processes ensure availability owner risk response action associated risk is managed corresponding risk response is carried a effective manner to enable risk monitoring identify imminence actual occurrence corresponding event every contingency response strategy should include a set trigger conditions responsibility monitoring conditions should be assigned plan risk responses process managed monitor control risks process plan risk responses strategic definition risk responses should include measurable criteria success response risk action owners should monitor assigned risks take agreedupon actions as required provide risk owners relevant information status changes risk characteristics risk owners should assess effectiveness actions decide whether additional actions are required keep project manager informed situation figure steps involved planning risk responses plan risk responses,['Figure 8-2'],[]," plan risk response , step involve plan , project manager inform , response plan risk , risk response plan , include measurable criterion , manager inform situation , ensure availability owner , owner relevant information , assign plan risk",situation figure step,need,plan risk response,ensure strategy change required success information trigger risk event condition every monitor availability agreedupon occurrence figure involved are keep provide step managed need resource assigned effectiveness owner responsibility whether situation associated decide use relevant criterion actual plan .,"['project manager', 'use assignment process', 'availability owner risk response action associate risk', 'correspond risk response', 'manner', 'set trigger condition responsibility monitor condition', 'criterion success response risk action owner', 'risk', 'action require provide risk owner information status change risk risk owner', 'action action', 'project manager']","['set trigger condition responsibility monitor condition', 'manage monitor control risk process plan', 'response definition risk response', 'criterion success response risk action owner']","['need', 'ensure', 'be', 'be carry', 'enable', 'should include', 'should be', 'responses', 'risk', 'should include', 'should monitor', 'take', 'should assess', 'be keep', 'inform', 'involve']",Plan Risk Responses
8.5,documenting results of plan risk responses process,risk response planning is based information placed risk register execution identify risks perform analysis processes corresponding risk response information is referred as risk response plan although may fact be integral part risk register,[],[]," register execution identify , perform analysis process , analysis process correspond , base information place , place risk register , part risk register , risk register execution , identify risk perform , risk perform analysis , execution identify risk",risk response fact,be base,risk response plan,"register information part risk analysis based plan be planning placed perform corresponding although process identify execution may referred fact .
 process identify identify execution referred process identify a integral response .",['risk response plan'],"['information place risk register execution', 'risk perform analysis process correspond risk response information', 'risk response plan']","['be base', 'identify', 'be refer', 'may', 'be']",Plan Risk Responses
8.5.1,add risk responses to risk register,responserelated information risk is recorded risk register updated any interested stakeholder should be able access information required verify responsibilities manage risk accordance risk response plan set residual risks priorities are identified recorded,[],[]," require verify responsibility , verify responsibility manage , response plan set , plan set residual , access information require , information require verify , responserelated information risk , record risk register , risk register update , responsibility manage risk",risk response plan,recorded,residual risk priority,"accordance manage register required information able risk are responsibility .
 identify priority plan should be set any access recorded stakeholder response updated is residual verifiable .","['risk register', 'stakeholder', 'access information require verify responsibility manage risk accordance risk response plan']",['risk register'],"['responserelated', 'be record', 'update', 'should be', 'set']",Plan Risk Responses
8.5.2,add corresponding risk responses to project management plan,while developing detailed set risk responses projectrelated implications are evaluated inclusion a modified project management plan these include costs resource assignments scheduling details changes project documentation until changes are approved along additional risks may carry risk response planning can not be considered complete,[],[]," develop detailed set , include cost resource , cost resource assignment , resource assignment schedule , assignment schedule detail , response projectrelated implication , schedule detail change , modify project management , project management plan , detailed set risk",these,evaluate,additional risk response planning,"can change documentation cost developing risk considered .
 considered are not resource carry inclusion .
 scheduling projectrelated implication plan these until be planning project set .
 evaluated detail modified along complete assignment approved additional detailed may .","['develop set risk response', 'implication', 'cost assignment schedule detail change project documentation change']","['cost assignment schedule detail change project documentation change', 'risk response planning']","['projectrelated', 'be', 'include', 'be approve', 'may carry']",Plan Risk Responses
8.5.3,review and document predicted exposure,risk responses have been defined integrated project management plan individual overall residual risks related plan are evaluated order determine whether additional response planning is required as shown figure this evaluation should provide estimate expected postresponse situation potential improvement risk exposure assuming proposed responses are effective evaluation should be documented,['Figure 8-2'],[]," define integrate project , integrate project management , evaluate order determine , provide estimate expect , estimate expect postresponse , expect postresponse situation , postresponse situation potential , situation potential improvement , exposure assume propose , project management plan",effective  evaluation,be,response,integrated determine required risk figure are order provide situation whether exposure evaluation defined postresponse proposed plan should be documented planning effective project shown expected potential evaluated assuming estimate have related additional been an overall response management is this improvement residual individual .,"['integrate project management plan risk', 'plan', 'order determine response planning', 'show figure evaluation', 'estimate postresponse situation improvement risk exposure']","['integrate project management plan risk', 'evaluation']","['have be', 'related', 'be', 'be require', 'should provide', 'assume', 'be', 'should be']",Plan Risk Responses
9.,monitor and control risks,effectiveness project risk management depends upon way approved plans are carried out these plans should be executed reviewed updated if is carried invested effort will be rewarded future projects will benefit projects experience,[],[]," risk management depend , execute reviewed updated , carry invested effort , effectiveness project risk , benefit project experience , project risk management , reward future project , risk management , management depend , execute reviewed",execute,depend upon,future project experience,"risk effort out are way benefit effectiveness future upon .
 if experience plan these should carried be depends on .
 project rewarded .
 reviewed and updated is reviewed .","['effectiveness project risk management', 'plan', 'effort']","['plan', 'plan']","['depend', 'approve', 'be carry', 'should be reviewed be invested', 'will be', 'will benefit']",Control Risks
